dir,q4Loss,q5Loss,childCount,depth,internalRatio,q4Concentration,q5Concentration
src/vs/platform/remoteTunnel,0,0,3,4,0.07142857142857142,0,0
src/vs/platform/request,0,0,7,4,0.047619047619047616,0,0
src/vs/platform/sandbox,0,0,16,4,0.19834710743801653,0,0
src/vs/platform/secrets,0,0,3,4,0.046511627906976744,0,0
src/vs/platform/sharedProcess,0,0,3,4,0.07692307692307693,0,0
src/vs/platform/shell,0,0,1,4,0,0,0
src/vs/platform/sign,0,0,4,4,0.14705882352941177,0,0
src/vs/platform/state,0,0,3,4,0.046511627906976744,0,0
src/vs/platform/storage,0.0645,0,8,4,0.016506189821182942,0.03333333333333333,0
src/vs/platform/telemetry,0.0645,0,26,4,0.056010928961748634,0.03333333333333333,0
src/vs/platform/terminal,0,0,47,4,0.15151515151515152,0,0
src/vs/platform/test,0,0,1,4,0,0,0
src/vs/platform/theme,0.0645,0,25,4,0.05719557195571956,0,0
src/vs/platform/tunnel,0,0,9,4,0.08888888888888889,0,0
src/vs/platform/undoRedo,0,0,3,4,0.03614457831325301,0,0
src/vs/platform/update,0,0,9,4,0.07518796992481203,0,0
src/vs/platform/uriIdentity,0,0,3,4,0.006600660066006601,0,0
src/vs/platform/url,0,0,9,4,0.08974358974358974,0,0
src/vs/platform/userData,0,0,2,4,0.024390243902439025,0,0
src/vs/platform/userDataProfile,0,0,13,4,0.053125,0,0
src/vs/platform/userDataSync,0,0.0645,52,4,0.18679775280898878,0,0
src/vs/platform/userInteraction,0,0,2,4,0.038461538461538464,0,0
src/vs/platform/utilityProcess,0,0,3,4,0.06060606060606061,0,0
src/vs/platform/webContentExtractor,0,0,10,4,0.21212121212121213,0,0
src/vs/platform/webWorker,0,0,3,4,0.075,0,0
src/vs/platform/webview,0,0,5,4,0.07407407407407407,0,0
src/vs/platform/window,0,0,3,4,0.014492753623188406,0,0
src/vs/platform/windows,0,0,8,4,0.045714285714285714,0,0
src/vs/platform/workspace,0,0,7,4,0.006802721088435374,0.03333333333333333,0
src/vs/platform/workspaces,0,0,11,4,0.06557377049180328,0,0
src/vs/server/node,0,0,20,4,0.1,0,0.03333333333333333
src/vs/server,0,0,25,3,0.11,0,0.03333333333333333
src/vs/server/test,0,0,5,4,0,0,0
src/vs/sessions/browser,0,0.0645,55,4,0.07963446475195822,0,0
src/vs/sessions,0,0.125,389,3,0.22423178226514487,0,0.1
src/vs/sessions/common,0,0,9,4,0,0,0
src/vs/sessions/contrib,0,0.125,272,4,0.12153038259564891,0,0
src/vs/sessions/electron-browser,0,0,5,4,0.008064516129032258,0,0
src/vs/sessions/services,0,0,33,4,0.09322033898305085,0,0
src/vs/sessions/test,0,0,11,4,0.023809523809523808,0,0
src/vs/workbench/api,0,0.1818,314,4,0.2783943329397875,0,0.1
src/vs/workbench,0.125,0.8462,3581,3,0.342471835284977,0.03333333333333333,0.6666666666666666
src/vs/workbench/browser,0,0.0645,113,4,0.07589285714285714,0,0.03333333333333333
src/vs/workbench/common,0.0645,0,29,4,0.021578648495173196,0,0
src/vs/workbench/contrib,0.0645,0.6667,2453,4,0.2510003923107101,0,0.36666666666666664
src/vs/workbench/electron-browser,0,0,10,4,0.023178807947019868,0,0
src/vs/workbench/services,0.0645,0.125,581,4,0.14278656126482214,0.03333333333333333,0
src/vs/workbench/test,0,0.0645,77,4,0.0461361014994233,0,0.06666666666666667
